Ticker	% Chng
FLDM 5.772
PACB 5.682
XONE 5.595
SHLD 5.587
NH 5.574
CGI 5.469
DEST 5.387
CLSN 5.224
SMRT 5.172



The Perfect Stocks (Positive Price, Volume Trend, High Short Shares Float. Does not Check Beta) (Shorts Pain):
INSY	850.347
AQB	823.808
HMNY	791.402
EROS	545.482
FTK	361.754
NOG	325.545
TEUM	278.187
AQMS	272.064
TGTX	249.702
ADXS	239.769
ANTH	222.392
FRSH	218.016
ZIOP	204.772
APRI	191.845
CRBP	178.503
MUX	174.874
INO	171.123
BCRX	171.085
XXII	143.86
DAVE	128.86
CGI	112.88
CRK	110.972
XONE	104.738
WTI	99.963
VTL	99.744
JAKK	99.575
CLNT	97.758
NLST	95.295
VKTX	94.657
SFS	90.641
PACB	89.435
OBLN	86.591
CORI	86.263
GNCA	85.26
QHC	77.604
COGT	66.252
PIXY	65.731
BIOS	63.149
IPWR	59.943
BTX	59.585
TTOO	59.515
USEG	56.449
AKTS	56.092
ACHN	54.398
SSW	53.561
ALQA	47.824
MARA	45.182
CGIX	41.456
CLD	39.954
CRMD	33.54
DHX	26.947


Top 10 Stocks Experiencing Greatest Pain (Short Pain):
FOSL	852.168
INSY	850.347
AQB	823.808
HMNY	791.402
EROS	545.482
IMUC	426.871
SGYP	393.811
MNKD	390.702
FTK	361.754
SHLD	327.454
