"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"IFEU","iShares FTSE EPRA/NAREIT Europe Index Fund","41.25","$41.25M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ifeu",
"IFGL","iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund","30.39","$632.11M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ifgl",
"IGF","iShares Global Infrastructure ETF","45.79","$2.34B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/igf",
"GNMA","iShares GNMA Bond ETF","49.47","$131.1M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gnma",
"HYXE","iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF","51.38","$10.28M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hyxe",
"CIU","iShares Intermediate Credit Bond ETF","109","$7.71B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ciu",
"IGOV","iShares International Treasury Bond ETF","50.04","$868.19M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/igov",
"EMB","iShares J.P. Morgan USD Emerging Markets Bond ETF","116.65","$12.32B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/emb",
"MBB","iShares MBS ETF","106.51","$11.85B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mbb",
"JKI","iShares Morningstar Mid-Cap ETF","161.4343","$427.8M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jki",
"ACWX","iShares MSCI ACWI ex US Index Fund","51.2","$3.35B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acwx",
"ACWI","iShares MSCI ACWI Index Fund","73.65","$8.96B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acwi",
"AAXJ","iShares MSCI All Country Asia ex Japan Index Fund","78.69","$5.05B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aaxj",
"EWZS","iShares MSCI Brazil Small-Cap ETF","17","$85M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ewzs",
"MCHI","iShares MSCI China ETF","70.11","$3.03B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mchi",
"ESGD","iShares MSCI EAFE ESG Optimized ETF","69.45","$138.9M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/esgd",
"SCZ","iShares MSCI EAFE Small-Cap ETF","65.84","$10.72B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/scz",
"ESGE","iShares MSCI EM ESG Optimized ETF","76.2585","$175.39M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/esge",
"EEMA","iShares MSCI Emerging Markets Asia Index Fund","76.37","$618.6M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eema",
"EMXC","iShares MSCI Emerging Markets ex China ETF","55.0702","$11.01M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/emxc",
"EUFN","iShares MSCI Europe Financials Sector Index Fund","23.87","$2.12B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eufn",
"IEUS","iShares MSCI Europe Small-Cap ETF","59.18","$198.25M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ieus",
"RING","iShares MSCI Global Gold Miners ETF","19.33","$363.4M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ring",
"MPCT","iShares MSCI Global Impact ETF","60.135","$27.06M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mpct",
"ENZL","iShares MSCI New Zealand ETF","48.35","$157.14M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/enzl",
"QAT","iShares MSCI Qatar ETF","16.37","$57.3M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qat",
"TUR","iShares MSCI Turkey ETF","44.19","$391.08M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tur",
